Profcoll_Fee,NTF,OSP ,DPD_Beginning,AMT_LLP_Beginning,AMT_LLP_Projection,Price_List,OS_LC
12250000,58745500,41258471.29,166,20629235.65,41258471.29,48216001.75,1654179.93
1200000,4743877.55,4743877.55,30,166035.7143,498107.1428,7200000,0
10205000,61645500,26932886.53,198,26932886.53,26932886.53,60614402.2,3787298.74
700000,5671176,1650117.66,3421,1650117.66,1650117.66,2300000,32400
1250000,6852791.88,2350597.42,1173,2350597.42,2350597.42,4500000,1571582.5
1500000,6617346.94,4097561.52,235,4097561.52,4097561.52,5400000,577598.86
1500000,6617346.94,4097561.52,235,4097561.52,4097561.52,5400000,577598.86
1500000,8840816.33,6916458.32,9,242076.0412,726228.1236,11500000,411650
1500000,8497959.18,3264126.96,528,3264126.96,3264126.96,9300000,1181400
1200000,8054166.67,1830708.82,690,1830708.82,1830708.82,8000000,208950
1200000,7950515.46,3181305.58,53,334037.0859,334037.0859,10500000,1170345
1500000,5946875,3853025.66,325,3853025.66,3853025.66,6900000,210537.43
1500000,7696144.8,1548746.52,1361,1548746.52,1548746.52,6900000,2206947.5
1200000,6544503,4642838,2875,4642838,4642838,3200000,241560
5000000,164700000,92259781.38,440,92259781.38,92259781.38,118250000,0
12000000,52456500,18115366.12,654,18115366.12,18115366.12,57000000,2944367.37
15000000,194774500,63344273.49,104,22170495.72,22170495.72,145140000,12659380
1500000,7008368,4153029.17,2572,4153029.17,4153029.17,2200000,25290
1200000,8636706.61,8252281.77,89,866489.5859,2888298.62,9300000,101400
1050000,5355330,3987439,2490,3987439,3987439,3000000,87547.5
15000000,59064000,51793465.45,351,51793465.45,51793465.45,53738208,1864141.02
1300000,5218367.35,4869196.84,1066,4869196.84,4869196.84,4000000,68551.31
8000000,104500000,20571998.84,166,10285999.42,20571998.84,79396992,4494500
1200000,7061855.67,3733033.57,45,391968.5249,391968.5249,8800000,239685
1500000,7893401,6171987.89,2416,6171987.89,6171987.89,5000000,0
17347000,92368000,45781975.86,1878,45781975.86,45781975.86,65163500,0
900000,6424242,1293169.33,1757,1293169.33,1293169.33,4200000,490480
